"season","name","last_name","team","Plays","Drives","EPA","EPA_p","Exp","WR","OL","nHC","nTM","lagEPA"
2015,"M.Hasselbeck","Hasselbeck","IND",307,80,0.0525198768474167,0.0136859613934636,17,18.8902847571189,19.3262144053601,0,0,0.736830720212616
2015,"P.Manning","Manning","DEN",371,105,-0.286792449956093,-0.0811676745158753,17,32.8400335008375,34.8743718592965,1,0,109.481020807721
2015,"T.Brady","Brady","NE",741,180,0.772833874086121,0.18773292487922,15,19.9074539363484,19.035594639866,0,0,119.224775189277
2015,"D.Brees","Brees","NO",725,168,0.666682111571299,0.154486337577901,14,13.5138190954774,26.5917085427136,0,0,117.371257112142
2015,"J.McCown","McCown","CLE",364,82,0.380703015357472,0.085762767195914,13,8.86390284757119,32.5494137353434,0,1,-24.7442866135345
2015,"C.Palmer","Palmer","ARI",630,170,1.09487934907256,0.295443633876722,12,23.6855108877722,40.9773869346734,0,0,35.6942447281329
2015,"E.Manning","Manning","NYG",710,179,0.365889219831873,0.0922453103519794,11,9.29983249581239,14.821608040201,0,0,73.3473833526363
2015,"B.Roethlisberger","Roethlisberger","PIT",552,125,1.00192587212225,0.226885387708842,11,13.9497487437186,16.1293969849246,0,0,153.840958183753
2015,"P.Rivers","Rivers","LAC",772,173,0.372089061348148,0.0833826523487429,11,11.1888609715243,24.2667504187605,0,0,94.708408508467
2015,"A.Smith","Smith","KC",637,174,0.316112516621916,0.0863478459846365,10,7.84673366834171,17.2918760469012,0,0,77.5208367636238
2015,"A.Rodgers","Rodgers","GB",753,182,0.313164149609552,0.0756917333717643,10,11.1888609715243,30.3697654941374,0,0,209.442152196519
2015,"R.Fitzpatrick","Fitzpatrick","NYJ",664,180,0.491410403550804,0.13321366361317,10,27.3182579564489,47.2257118927973,1,1,52.4992431718376
2015,"J.Cutler","Cutler","CHI",578,151,0.337167411851325,0.0880835280096023,9,11.0435510887772,23.9761306532663,1,0,3.07107027208445
2015,"M.Ryan","Ryan","ATL",723,163,0.462854718430751,0.104350372204996,7,34.7290619765494,21.069932998325,1,0,78.5541336994485
2015,"J.Flacco","Flacco","BAL",467,118,0.015831934073721,0.00400036021562971,7,1.88902847571189,15.4028475711893,0,0,93.0659005478003
2015,"M.Stafford","Stafford","DET",711,170,0.224463452965013,0.0536691800338287,6,36.9087102177554,13.6591289782245,0,0,36.2801422233408
2015,"B.Hoyer","Hoyer","HOU",429,114,0.118100776487164,0.0313834231224632,6,9.15452261306532,16.7106365159129,0,1,-4.69707754848964
2015,"S.Bradford","Bradford","PHI",625,170,-0.0408804757743455,-0.011119489410622,5,13.2231993299832,33.4212730318258,0,1,0
2015,"C.Newton","Newton","CAR",693,183,0.614373306913604,0.162237107020475,4,9.29983249581239,25.8651591289782,0,0,23.9849212118625
2015,"B.Gabbert","Gabbert","SF",354,93,-0.24493066192664,-0.0643461908451341,4,18.5996649916248,23.249581239531,1,0,4.04638568818336
2015,"A.Dalton","Dalton","CIN",492,128,0.980076660137858,0.254979293694402,4,27.0276381909548,37.1993299832496,0,0,14.8024606569937
2015,"C.Kaepernick","Kaepernick","SF",328,85,-0.193114650442232,-0.0500449551450905,4,18.5996649916248,23.249581239531,1,0,11.3249224629984
2015,"T.Taylor","Taylor","BUF",560,160,0.362565497041622,0.103590142011892,4,7.84673366834171,20.0527638190955,1,1,0
2015,"R.Wilson","Wilson","SEA",651,168,0.883437252492164,0.227983807094752,3,11.4794807370184,18.4543551088777,0,0,85.946027941063
2015,"N.Foles","Foles","LA",387,131,-0.664371545363139,-0.224890626466592,3,14.821608040201,13.6591289782245,0,1,14.1594086730038
2015,"K.Cousins","Cousins","WAS",636,160,0.661574256385363,0.166433775191286,3,29.7885259631491,26.8823283082077,0,0,18.3503664303007
2015,"A.Luck","Luck","IND",358,88,-0.13503159970261,-0.0331921250665633,3,18.8902847571189,19.3262144053601,0,0,88.9583368202263
2015,"B.Osweiler","Osweiler","DEN",335,87,0.0954999121856724,0.0248014697318015,3,32.8400335008375,34.8743718592965,1,0,-4.38415060105035
2015,"R.Tannehill","Tannehill","MIA",701,180,0.00588847880268076,0.00151202023463985,3,9.15452261306532,32.1134840871022,1,0,48.2572453615457
2015,"T.Bridgewater","Bridgewater","MIN",564,154,0.219145779191866,0.0598376772970697,1,23.3948911222781,21.3605527638191,0,0,12.9366086733897
2015,"D.Carr","Carr","LV",665,185,0.036020491026527,0.010020738105124,1,17.2918760469012,33.857202680067,1,0,-61.237652994825
2015,"B.Bortles","Bortles","JAX",745,190,0.0937816473020615,0.02391746709717,1,5.0858458961474,34.5837520938023,0,0,-87.2224148169301
2015,"J.Manziel","Manziel","CLE",290,68,-0.117763029193457,-0.0276133999488106,1,8.86390284757119,32.5494137353434,0,0,-18.0971183294199
2015,"J.Winston","Winston","TB",665,169,0.432729102766003,0.109971756943541,0,6.68425460636516,28.0448073701843,0,1,0
2015,"M.Mariota","Mariota","TEN",475,128,0.196237445732396,0.052880827481572,0,9.29983249581239,14.6762981574539,0,1,0
2016,"T.Brady","Brady","NE",505,127,1.22471303562001,0.307997139650973,16,12.6043665872351,20.2474399433245,0,0,139.110097335502
2016,"D.Brees","Brees","NO",751,179,0.664284837690701,0.158331539209901,15,22.6610420557738,27.3541572744252,0,0,112.002594743978
2016,"C.Palmer","Palmer","ARI",699,171,0.270237928468128,0.0661097078226751,13,24.0019321182456,12.6043665872351,0,0,186.129489342335
2016,"E.Manning","Manning","NYG",676,185,-0.109264766127688,-0.0299023398426364,12,6.8385393186063,21.0519739808076,1,0,65.4941703499053
2016,"B.Roethlisberger","Roethlisberger","PIT",579,143,0.647987976972855,0.160038481359444,12,6.43627229986475,43.7130160365814,0,0,125.240734015281
2016,"P.Rivers","Rivers","LAC",664,171,0.385211372984868,0.0992035312958018,12,19.4429059058414,32.4495395118181,0,0,64.3714076132296
2016,"A.Smith","Smith","KC",587,149,0.330545871245787,0.0839034664661368,11,20.7837959683133,19.0406388870999,0,0,55.0035778922134
